customer_id,first_name,last_name,email,country,city,created_at
CUST00001,Danielle,Johnson,john21@example.net,Germany,New Roberttown,2023-08-27T04:27:41.784586
CUST00002,Jesse,Guzman,jennifermiles@example.com,United States,South Bridget,2025-09-27T23:01:17.951516
CUST00003,Adam,Shaffer,jpeterson@example.org,Canada,Curtisfurt,2023-08-30T09:44:02.663078
CUST00004,Melanie,Munoz,blairamanda@example.com,France,New Kellystad,2025-01-23T15:05:22.920198
CUST00005,Janet,Williams,kendragalloway@example.org,France,South Joshuastad,2023-11-08T16:14:29.789990
CUST00006,Michael,Santiago,lynchgeorge@example.net,United Kingdom,East Steven,2024-03-02T00:31:24.143791
CUST00007,Sara,Watts,gabriellecameron@example.org,Germany,Port Antonio,2024-04-19T12:25:23.373418
CUST00008,Joseph,Clark,jason76@example.net,Germany,Thomasberg,2024-02-06T04:03:10.951968
CUST00009,Anna,Baker,zhurst@example.com,Netherlands,East William,2023-08-24T05:12:27.763296
CUST00010,Brandon,Rodriguez,laurahenderson@example.org,United States,Jamesmouth,2024-12-03T05:17:52.723822
CUST00011,Tasha,Valencia,frazierdanny@example.net,United States,Kaylamouth,2023-09-15T05:11:36.243213
CUST00012,Ryan,Chavez,teresa28@example.org,Germany,Meaganhaven,2025-02-26T07:47:37.794608
CUST00013,Eric,Farmer,georgetracy@example.org,France,Natashaport,2024-01-29T12:31:51.637388
CUST00014,John,Bradley,millertodd@example.org,France,East Donna,2026-02-21T09:48:21.674402
CUST00015,Frederick,Rose,ibrandt@example.net,United States,Lake Larry,2026-04-13T21:12:21.453688
CUST00016,Debra,Kim,omartinez@example.org,France,Andrewside,2024-01-19T13:42:04.211892
CUST00017,Jeffrey,Jones,perezrebecca@example.com,Netherlands,New Johnfort,2024-01-02T15:35:13.310311
CUST00018,David,Walls,esanchez@example.com,France,North Collin,2024-08-20T17:06:32.432260
CUST00019,Rodney,Owens,nuneztracey@example.org,Spain,South Jessicaville,2024-02-08T07:56:41.635230
CUST00020,James,West,dwhite@example.org,Canada,South Lindseyside,2023-08-31T16:13:52.240362
CUST00021,Denise,Fernandez,novaksara@example.org,United States,South Todd,2024-01-02T03:04:00.275100
CUST00022,Richard,Brown,ysmith@example.com,United Kingdom,Mitchellside,2025-04-23T16:51:36.331034
CUST00023,Tommy,Lee,tanyariley@example.net,Netherlands,Lake Leeton,2025-01-30T21:39:58.051533
CUST00024,Wesley,Farrell,brianromero@example.org,Australia,New Carlosbury,2024-07-22T15:28:21.199599
CUST00025,Shelly,Hudson,harveyrobert@example.net,Canada,Sarahborough,2025-05-02T01:45:39.607859
CUST00026,Leon,Baker,emilyevans@example.com,United Kingdom,North Stephenshire,2026-04-14T21:25:47.913662
CUST00027,Charles,Lewis,david51@example.org,France,Justinmouth,2025-10-23T20:55:13.352275
CUST00028,Jade,Carr,contrerasangela@example.net,Australia,East Josephville,2025-07-18T12:59:29.850273
CUST00029,Eric,Campbell,jenniferharris@example.net,Germany,Williamview,2026-01-08T04:02:13.735592
CUST00030,Meghan,Davis,ccalderon@example.org,Germany,Kellieview,2023-11-07T12:49:10.820398
CUST00031,Scott,Thornton,rodriguezsierra@example.net,Netherlands,New Barry,2024-06-15T19:31:58.218838
CUST00032,Angela,Jordan,parkerrachel@example.org,Germany,Jasonbury,2025-04-29T02:20:05.306649
CUST00033,Michael,Castro,vdickson@example.org,Australia,Port Francisco,2025-09-17T18:55:36.316269
CUST00034,Gregory,Gutierrez,jillcook@example.com,Australia,West Erik,2025-06-04T16:46:50.873410
CUST00035,Patrick,Williams,dwalker@example.com,Canada,Loribury,2024-01-11T21:46:12.747714
CUST00036,Donna,Ross,michelle45@example.net,United States,Frazierside,2024-05-06T05:54:18.444619
CUST00037,Anthony,Wiley,gregory40@example.org,Spain,Reedmouth,2024-08-26T09:45:38.808966
CUST00038,Tracey,Wilson,jonathanfletcher@example.org,Germany,West Ryan,2026-02-23T13:37:14.285160
CUST00039,Samantha,Hanson,cortezkevin@example.com,Netherlands,Nguyenport,2024-12-30T04:21:19.436399
CUST00040,James,Ortega,lbyrd@example.net,Germany,Richardtown,2024-04-07T04:17:12.784721
CUST00041,Jason,Floyd,steven73@example.net,Canada,Leonburgh,2025-04-20T11:36:07.938920
CUST00042,Justin,Beck,clarence34@example.org,Australia,East Andrew,2024-02-04T06:23:54.700896
CUST00043,Thomas,Atkinson,gibsonolivia@example.net,France,Lake Heather,2024-10-27T04:48:55.798594
CUST00044,John,Douglas,staffordmichelle@example.org,Germany,Robinsonhaven,2024-09-25T09:54:52.898204
CUST00045,Angela,Lowery,bryantlaurie@example.net,United States,Stephaniemouth,2025-03-02T05:58:20.006941
CUST00046,Jennifer,Wagner,vmerritt@example.com,France,Greenbury,2025-10-30T09:24:01.678189
CUST00047,Joshua,Strickland,rsims@example.com,Canada,Lake Justinview,2024-05-11T06:03:31.333305
CUST00048,Patricia,Miller,jessebenson@example.net,Germany,North Robert,2024-05-05T23:02:17.547334
CUST00049,Steven,Brown,xprice@example.net,France,Port Nicoleshire,2024-06-27T17:06:15.500860
CUST00050,Adam,Bell,acastaneda@example.net,Germany,South Jeffrey,2024-08-25T19:29:27.656305
CUST00051,Anthony,Rogers,dramsey@example.org,Netherlands,South Brittanytown,2023-08-16T19:08:23.882025
CUST00052,Roy,Camacho,brentgray@example.org,Canada,Murphyfurt,2024-03-10T21:02:22.532166
CUST00053,Stephanie,Fisher,ruizkaitlyn@example.org,Spain,Jeffreyland,2025-08-28T21:48:31.238546
CUST00054,Denise,Webster,jamessmith@example.org,Australia,East Thomas,2023-09-18T05:45:47.211858
CUST00055,Stacie,Marshall,katie29@example.net,United Kingdom,Port Loriport,2023-09-11T12:51:51.155513
CUST00056,Anthony,Collins,tsanders@example.org,Australia,New Hannahbury,2023-09-04T22:21:01.598326
CUST00057,Kendra,Jefferson,hoganashlee@example.org,Australia,Amandastad,2023-07-31T19:43:04.728257
