customer_id,first_name,last_name,email,country,city,created_at
CUST00001,Danielle,Johnson,john21@example.net,Germany,New Roberttown,2023-09-11T04:48:05.784586
CUST00002,Jesse,Guzman,jennifermiles@example.com,United States,South Bridget,2025-10-12T23:21:41.951516
CUST00003,Adam,Shaffer,jpeterson@example.org,Canada,Curtisfurt,2023-09-14T10:04:26.663078
CUST00004,Melanie,Munoz,blairamanda@example.com,France,New Kellystad,2025-02-07T15:25:46.920198
CUST00005,Janet,Williams,kendragalloway@example.org,France,South Joshuastad,2023-11-23T16:34:53.789990
CUST00006,Michael,Santiago,lynchgeorge@example.net,United Kingdom,East Steven,2024-03-17T00:51:48.143791
CUST00007,Sara,Watts,gabriellecameron@example.org,Germany,Port Antonio,2024-05-04T12:45:47.373418
CUST00008,Joseph,Clark,jason76@example.net,Germany,Thomasberg,2024-02-21T04:23:34.951968
CUST00009,Anna,Baker,zhurst@example.com,Netherlands,East William,2023-09-08T05:32:51.763296
CUST00010,Brandon,Rodriguez,laurahenderson@example.org,United States,Jamesmouth,2024-12-18T05:38:16.723822
CUST00011,Tasha,Valencia,frazierdanny@example.net,United States,Kaylamouth,2023-09-30T05:32:00.243213
CUST00012,Ryan,Chavez,teresa28@example.org,Germany,Meaganhaven,2025-03-13T08:08:01.794608
CUST00013,Eric,Farmer,georgetracy@example.org,France,Natashaport,2024-02-13T12:52:15.637388
CUST00014,John,Bradley,millertodd@example.org,France,East Donna,2026-03-08T10:08:45.674402
CUST00015,Frederick,Rose,ibrandt@example.net,United States,Lake Larry,2026-04-28T21:32:45.453688
CUST00016,Debra,Kim,omartinez@example.org,France,Andrewside,2024-02-03T14:02:28.211892
CUST00017,Jeffrey,Jones,perezrebecca@example.com,Netherlands,New Johnfort,2024-01-17T15:55:37.310311
CUST00018,David,Walls,esanchez@example.com,France,North Collin,2024-09-04T17:26:56.432260
CUST00019,Rodney,Owens,nuneztracey@example.org,Spain,South Jessicaville,2024-02-23T08:17:05.635230
CUST00020,James,West,dwhite@example.org,Canada,South Lindseyside,2023-09-15T16:34:16.240362
CUST00021,Denise,Fernandez,novaksara@example.org,United States,South Todd,2024-01-17T03:24:24.275100
CUST00022,Richard,Brown,ysmith@example.com,United Kingdom,Mitchellside,2025-05-08T17:12:00.331034
CUST00023,Tommy,Lee,tanyariley@example.net,Netherlands,Lake Leeton,2025-02-14T22:00:22.051533
CUST00024,Wesley,Farrell,brianromero@example.org,Australia,New Carlosbury,2024-08-06T15:48:45.199599
CUST00025,Shelly,Hudson,harveyrobert@example.net,Canada,Sarahborough,2025-05-17T02:06:03.607859
CUST00026,Leon,Baker,emilyevans@example.com,United Kingdom,North Stephenshire,2026-04-29T21:46:11.913662
CUST00027,Charles,Lewis,david51@example.org,France,Justinmouth,2025-11-07T21:15:37.352275
CUST00028,Jade,Carr,contrerasangela@example.net,Australia,East Josephville,2025-08-02T13:19:53.850273
CUST00029,Eric,Campbell,jenniferharris@example.net,Germany,Williamview,2026-01-23T04:22:37.735592
CUST00030,Meghan,Davis,ccalderon@example.org,Germany,Kellieview,2023-11-22T13:09:34.820398
CUST00031,Scott,Thornton,rodriguezsierra@example.net,Netherlands,New Barry,2024-06-30T19:52:22.218838
CUST00032,Angela,Jordan,parkerrachel@example.org,Germany,Jasonbury,2025-05-14T02:40:29.306649
CUST00033,Michael,Castro,vdickson@example.org,Australia,Port Francisco,2025-10-02T19:16:00.316269
CUST00034,Gregory,Gutierrez,jillcook@example.com,Australia,West Erik,2025-06-19T17:07:14.873410
CUST00035,Patrick,Williams,dwalker@example.com,Canada,Loribury,2024-01-26T22:06:36.747714
CUST00036,Donna,Ross,michelle45@example.net,United States,Frazierside,2024-05-21T06:14:42.444619
CUST00037,Anthony,Wiley,gregory40@example.org,Spain,Reedmouth,2024-09-10T10:06:02.808966
CUST00038,Tracey,Wilson,jonathanfletcher@example.org,Germany,West Ryan,2026-03-10T13:57:38.285160
CUST00039,Samantha,Hanson,cortezkevin@example.com,Netherlands,Nguyenport,2025-01-14T04:41:43.436399
CUST00040,James,Ortega,lbyrd@example.net,Germany,Richardtown,2024-04-22T04:37:36.784721
CUST00041,Jason,Floyd,steven73@example.net,Canada,Leonburgh,2025-05-05T11:56:31.938920
CUST00042,Justin,Beck,clarence34@example.org,Australia,East Andrew,2024-02-19T06:44:18.700896
CUST00043,Thomas,Atkinson,gibsonolivia@example.net,France,Lake Heather,2024-11-11T05:09:19.798594
CUST00044,John,Douglas,staffordmichelle@example.org,Germany,Robinsonhaven,2024-10-10T10:15:16.898204
CUST00045,Angela,Lowery,bryantlaurie@example.net,United States,Stephaniemouth,2025-03-17T06:18:44.006941
CUST00046,Jennifer,Wagner,vmerritt@example.com,France,Greenbury,2025-11-14T09:44:25.678189
CUST00047,Joshua,Strickland,rsims@example.com,Canada,Lake Justinview,2024-05-26T06:23:55.333305
CUST00048,Patricia,Miller,jessebenson@example.net,Germany,North Robert,2024-05-20T23:22:41.547334
CUST00049,Steven,Brown,xprice@example.net,France,Port Nicoleshire,2024-07-12T17:26:39.500860
CUST00050,Adam,Bell,acastaneda@example.net,Germany,South Jeffrey,2024-09-09T19:49:51.656305
CUST00051,Anthony,Rogers,dramsey@example.org,Netherlands,South Brittanytown,2023-08-31T19:28:47.882025
CUST00052,Roy,Camacho,brentgray@example.org,Canada,Murphyfurt,2024-03-25T21:22:46.532166
CUST00053,Stephanie,Fisher,ruizkaitlyn@example.org,Spain,Jeffreyland,2025-09-12T22:08:55.238546
CUST00054,Denise,Webster,jamessmith@example.org,Australia,East Thomas,2023-10-03T06:06:11.211858
CUST00055,Stacie,Marshall,katie29@example.net,United Kingdom,Port Loriport,2023-09-26T13:12:15.155513
CUST00056,Anthony,Collins,tsanders@example.org,Australia,New Hannahbury,2023-09-19T22:41:25.598326
CUST00057,Kendra,Jefferson,hoganashlee@example.org,Australia,Amandastad,2023-08-15T20:03:28.728257
CUST00058,Deborah,Smith,gshort@example.com,France,Cynthiamouth,2025-06-26T03:21:48.415366
CUST00059,Ryan,Gross,christina87@example.com,Canada,Petersenshire,2024-03-15T09:09:36.178768
CUST00060,Melissa,Rivas,ramirezshannon@example.com,Germany,Rogersfort,2025-11-26T05:23:28.260169
